date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:25	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:42:10%20GMT	https://maintdapp.com/robots.txt		(from )
16:42:46	30448/30448	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/index.html	(from )
16:42:49	4482/4482	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:42:50%20GMT	https://accountresolvecenter.netlify.app/img/image.jpg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/accountresolvecenter.netlify.app/img/image.0.delayed	(from https://maintdapp.com/dex/)
16:42:52	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:42:52%20GMT	https://maintdapp.com/syncwallet.online/social-card.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/syncwallet.online/social-card.1.delayed	(from https://maintdapp.com/dex/)
16:42:53	2409/2409	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/img/favicon.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/img/favicon.png	(from https://maintdapp.com/dex/)
16:42:57	4744/4744	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/libs/owl.carousel/dist/assets/owl.carousel.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/libs/owl.carousel/dist/assets/owl.carousel.css	(from https://maintdapp.com/dex/)
16:42:59	1380/1380	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/libs/owl.carousel/dist/assets/owl.theme.default.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/libs/owl.carousel/dist/assets/owl.theme.default.css	(from https://maintdapp.com/dex/)
16:42:59	162755/162755	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/libs/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/libs/bootstrap/dist/css/bootstrap.min.css	(from https://maintdapp.com/dex/)
16:43:01	110349/110349	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/libs/remixicon/fonts/remixicon.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/libs/remixicon/fonts/remixicon.css	(from https://maintdapp.com/dex/)
16:43:02	1648/1648	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/fonts.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/fonts.css	(from https://maintdapp.com/dex/)
